time,open,high,low,close,volume
1780219800000,73955.98000000,73982.00000000,73950.77000000,73956.68000000,19.96627000
1780220100000,73956.69000000,73970.00000000,73942.39000000,73969.99000000,11.58661000
1780220400000,73969.99000000,74024.00000000,73960.20000000,73982.57000000,64.99131000
1780220700000,73982.56000000,74000.24000000,73971.30000000,73995.11000000,32.44354000
1780221000000,73995.10000000,73995.11000000,73892.00000000,73894.82000000,12.70963000
1780221300000,73894.82000000,73894.83000000,73813.44000000,73841.79000000,66.89255000
1780221600000,73841.79000000,73845.58000000,73817.69000000,73845.58000000,18.65656000
1780221900000,73845.58000000,73851.56000000,73844.99000000,73851.55000000,46.38530000
1780222200000,73851.55000000,73865.66000000,73840.75000000,73855.14000000,28.73616000
1780222500000,73855.14000000,73855.14000000,73804.05000000,73810.64000000,23.41400000
1780222800000,73810.64000000,73811.23000000,73699.20000000,73758.67000000,129.16213000
1780223100000,73758.67000000,73808.86000000,73758.66000000,73801.84000000,23.00130000
1780223400000,73801.84000000,73834.00000000,73801.83000000,73833.99000000,14.54312000
1780223700000,73834.00000000,73839.54000000,73818.24000000,73839.54000000,54.71111000
1780224000000,73839.53000000,73840.93000000,73803.03000000,73840.92000000,32.71938000
1780224300000,73840.92000000,73840.93000000,73804.62000000,73840.00000000,7.55276000
1780224600000,73840.00000000,73868.57000000,73839.99000000,73865.60000000,17.24942000
1780224900000,73865.61000000,73900.00000000,73859.03000000,73900.00000000,4.16709000
1780225200000,73900.00000000,73942.00000000,73899.99000000,73912.84000000,9.36432000
1780225500000,73912.84000000,73925.34000000,73912.84000000,73920.09000000,9.67201000
1780225800000,73920.08000000,73936.93000000,73900.99000000,73907.98000000,9.94540000
1780226100000,73907.98000000,73914.67000000,73901.16000000,73914.67000000,3.57049000
1780226400000,73914.67000000,73917.42000000,73911.32000000,73915.99000000,6.18133000
1780226700000,73916.00000000,73971.31000000,73915.99000000,73971.31000000,9.27704000
1780227000000,73971.31000000,73971.31000000,73925.34000000,73926.10000000,11.66253000
1780227300000,73926.11000000,73971.97000000,73926.09000000,73950.04000000,19.98873000
